,number,smiles,mapped_smiles,component_name,n_conformers
91,92,CC(C)=CCC/C(C)=C\CO,[H:18][C:4](=[C:2]([C:1]([H:12])([H:13])[H:14])[C:3]([H:15])([H:16])[H:17])[C:5]([H:19])([H:20])[C:6]([H:21])([H:22])/[C:7](=[C:9](/[H:26])\[C:10]([H:27])([H:28])[O:11][H:29])/[C:8]([H:23])([H:24])[H:25],component-092,10
92,93,CCCOC(=O)c1ccc(O)cc1,[H:21][c:8]1[c:9]([c:10]([c:12]([c:13]([c:7]1[C:5](=[O:6])[O:4][C:3]([H:19])([H:20])[C:2]([H:17])([H:18])[C:1]([H:14])([H:15])[H:16])[H:25])[H:24])[O:11][H:23])[H:22],component-093,4
93,94,O=[N+]([O-])c1ccccc1,[H:12][c:7]1[c:6]([c:5]([c:4]([c:9]([c:8]1[H:13])[H:14])[N+:2](=[O:1])[O-:3])[H:10])[H:11],component-094,1
94,95,Nc1ccccc1[N+](=O)[O-],[H:14][c:4]1[c:5]([c:6]([c:7]([c:2]([c:3]1[H:13])[N:1]([H:11])[H:12])[N+:8](=[O:9])[O-:10])[H:16])[H:15],component-095,4
95,96,O=[N+]([O-])c1ccccc1O,[H:12][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:11])[N+:2](=[O:1])[O-:3])[O:10][H:15])[H:14])[H:13],component-096,4
96,97,CCCCOC(=O)c1ccc(O)cc1,[H:24][c:9]1[c:10]([c:11]([c:13]([c:14]([c:8]1[C:6](=[O:7])[O:5][C:4]([H:22])([H:23])[C:3]([H:20])([H:21])[C:2]([H:18])([H:19])[C:1]([H:15])([H:16])[H:17])[H:28])[H:27])[O:12][H:26])[H:25],component-097,4
97,98,CC(=O)Oc1ccccc1C(=O)O,[H:19][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:20])[C:11](=[O:12])[O:13][H:21])[O:4][C:2](=[O:3])[C:1]([H:14])([H:15])[H:16])[H:17])[H:18],component-098,2
98,99,Cc1ccccc1[N+](=O)[O-],[H:15][c:4]1[c:5]([c:6]([c:7]([c:2]([c:3]1[H:14])[C:1]([H:11])([H:12])[H:13])[N+:8](=[O:9])[O-:10])[H:17])[H:16],component-099,4
99,100,CC[C@H](C)O[N+](=O)[O-],[H:4][C@:3]([C:5]([H:15])([H:16])[H:17])([C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])[O:6][N+:7](=[O:8])[O-:9],component-100,2
100,101,Nc1cccc([N+](=O)[O-])c1,[H:14][c:4]1[c:3]([c:2]([c:10]([c:6]([c:5]1[H:15])[N+:7](=[O:8])[O-:9])[H:16])[N:1]([H:11])[H:12])[H:13],component-101,3
101,102,Nc1ccc([N+](=O)[O-])cc1,[H:13][c:3]1[c:4]([c:5]([c:9]([c:10]([c:2]1[N:1]([H:11])[H:12])[H:16])[H:15])[N+:6](=[O:7])[O-:8])[H:14],component-102,1
